cover,title,author,shelf,isbn,isbn13,asin,pages,avg_rating,num_ratings,date_pub,date_pub_edition,review,comments,read_count,date_started,date_read,goodreads_id,goodreads_url,rating_numeric
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442353674l/27333.jpg,Silent Spring,"Carson, Rachel",to-read,0618249060,9780618249060,0618249060,378.0,4.05,52596,1962,2022,Write a review,0,not set[edit],,2022-03-27,27333,https://www.goodreads.com/book/show/27333.Silent_Spring,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639073843l/44436221.jpg,Interior Chinatown,"Yu, Charles",to-read,,,,288.0,3.95,67363,2020,2020,Write a review,0,not set[edit],,2022-05-03,44436221,https://www.goodreads.com/book/show/44436221-interior-chinatown,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387754966l/17607.jpg,All About Love: New Visions,"hooks, bell",to-read,0688168442,9780688168445,0688168442,240.0,4.03,118882,1999,1999,Write a review,0,not set[edit],,2022-05-17,17607,https://www.goodreads.com/book/show/17607.All_About_Love,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433794639l/23834688.jpg,Sick in the Head: Conversations About Life and Comedy,"Apatow, Judd",to-read,0812997581,9780812997583,0812997581,489.0,3.66,13008,2015,2015,Write a review,0,not set[edit],,2022-05-20,23834688,https://www.goodreads.com/book/show/23834688-sick-in-the-head,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331l/3836.jpg,Don Quixote,"Cervantes Saavedra, Miguel de",to-read,,,0142437239,1.0,3.90,294142,1615,2003,Write a review,0,not set[edit],,2022-05-22,3836,https://www.goodreads.com/book/show/3836.Don_Quixote,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329269081l/21686.jpg,Shutter Island,"Lehane, Dennis",to-read,038073186X,9780380731862,038073186X,369.0,4.13,211502,2003,2004,Write a review,0,not set[edit],,2022-05-24,21686,https://www.goodreads.com/book/show/21686.Shutter_Island,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475538019l/113934.jpg,The Goal: A Process of Ongoing Improvement,"Goldratt, Eliyahu M.",to-read,0884271781,9780884271789,0884271781,384.0,4.08,80198,1984,2004,Write a review,0,not set[edit],,2022-05-31,113934,https://www.goodreads.com/book/show/113934.The_Goal,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348976015l/376237.jpg,Toyota Production System: Beyond large-scale production,"Ohno, Taiichi",to-read,0915299143,9780915299140,0915299143,152.0,4.11,1987,1978,1988,Write a review,0,not set[edit],,2022-05-31,376237,https://www.goodreads.com/book/show/376237.Toyota_Production_System,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176882l/48654.jpg,"Story: Substance, Structure, Style, and the Principles of Screenwriting","McKee, Robert",to-read,0060391685,9780060391683,0060391685,466.0,4.28,16957,1997,1997,Write a review,0,not set[edit],,2022-06-16,48654,https://www.goodreads.com/book/show/48654.Story,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519634010l/35820393.jpg,Never Lost Again: The Google Mapping Revolution That Sparked New Industries and Augmented Our Reality,"Kilday, Bill",to-read,0062673041,9780062673046,0062673041,368.0,4.22,637,2018,2018,Write a review,0,not set[edit],,2022-07-24,35820393,https://www.goodreads.com/book/show/35820393-never-lost-again,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388189974l/9791.jpg,A Walk in the Woods: Rediscovering America on the Appalachian Trail,"Bryson, Bill",to-read,0307279464,9780307279460,0307279464,397.0,4.07,431852,1998,2006,Write a review,0,not set[edit],,2022-10-01,9791,https://www.goodreads.com/book/show/9791.A_Walk_in_the_Woods,
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505472210l/36243813.jpg,Silence: In the Age of Noise,"Kagge, Erling",to-read,0241981379,9780241981375,B073XL3DTX,131.0,3.77,12812,2016,2017,Write a review,0,not set[edit],,2022-10-02,36243813,https://www.goodreads.com/book/show/36243813-silence,
